n,search_one_array,search_two_arrays,check_common_element,check_duplicates
10,3.337860107421875e-06,2.6226043701171875e-06,2.384185791015625e-06,5.9604644775390625e-06
100,4.291534423828125e-06,7.3909759521484375e-06,7.152557373046875e-07,4.76837158203125e-06
1000,5.245208740234375e-06,4.76837158203125e-06,7.152557373046875e-07,1.6689300537109375e-06
10000,5.7220458984375e-06,5.245208740234375e-06,4.76837158203125e-07,4.291534423828125e-06
1000000,2.384185791015625e-06,1.9073486328125e-06,7.152557373046875e-07,9.5367431640625e-07
